"name","wardnum","title","adminward","ER_A","ER_B","voters","male_voters","female_voters","total_polling_buildings","total_polling_stations","PB.building","PB.SRA","PB.road","PB.electrical","PB.drainage","PB.water","PB.total","areas"
"Ward 61",61,"Kedar Vasti - Azadnagar","Kondhwa Wanavdi","Nanda Lonkar (NCP)","Prashant Jagtap (NCP)",38029,19514,18515,17,46,240000,0,2560000,400000,800000,0,4000000,"Sacred Heart Town, Graficon society, Super Mall, Parmar Nagar, Mahadji Shinde Chatri, Netaji Nagar, Kedari Vasti, Azad Nagar, S.R.P. Group 2, N.I.B.M. etc."
"Ward 62",62,"Kondhwa Budruk, Gokulnagar","Kondhwa Wanavdi","Sangita Thosar (BJP)","Yogesh Tilekar (BJP)",36315,19830,16485,21,43,0,640000,1600000,640000,1120000,0,4000000,"Kousarbaug, Konark Puram, Kondwa Budruk Gaonthan, V.I.I.T Campus, Mahesh Bhavan, Gokul Nagar, Clover Village, Oxford Village, N.I.B.M. etc."
"Ward 63",63,"Bhagyodaynagar","Kondhwa Wanavdi","Bharat Chaudhari (SS)","Arti Babar (MNS)",40640,21617,19023,12,49,0,800000,800000,800000,1600000,0,4000000,"Kondwa Khurd Gaonthan, Mount Carmel High School, Parashi Dafan Vihir, Kubera Garden, Bhagyoday Nagar, Mitha Nagar, Shivneri Nagar, etc"
"Ward 64",64,"Salisbury Park","Bibvewadi","Shrinath Bhimale (BJP)","Kavita Vairage (BJP)",33114,17079,16035,10,39,1200000,800000,400000,0,1600000,0,4000000,"D.A.D. Colony, Seventh Day Adventist, Lullanagar, Punawala Park, Mithapalli Estate, Meera Housing Society No. 1 and 2, Hide Park, Dias Plot Slums, Salisbury Park etc."
"Ward 65",65,"Ghorpade Garden","Bhawani Peth","Pandurang Kambale (BJP)","Kamal Vyavahare (INC)",32256,16911,15345,7,36,400000,400000,1200000,400000,1600000,0,4000000,"Municipal Corporation Colony No. 7,8 and 9, Lohiya Nagar, Ekbote Colony, Mominpura, Annasaheb Shinde Primary School, Ghorapade Garden, Sahyadri Munot Hospital etc"
"Ward 66",66,"Adinath Society","Sahakarnagar","Manisha Chorbele (BJP)","Adv. Abhay Chajed (INC)",34558,17720,16838,9,43,1200000,800000,1200000,800000,0,0,4000000,"S.T. Work Shop, Vehicle Depot, Mukund nagar, Dagduram Kataria High School, Gultekdi Industrial Estate, Tilak Maharashtra Vidyapeeth, Adinath Society, Maharshinagar, Shivshankar Sabhagruh, etc."
"Ward 67",67,"Aranyeshwar Taware Colony","Sahakarnagar","Ulhaasa Urfa Aba Bagul (INC)","Ashwini Kadam (Other)",30963,15769,15194,9,38,0,1200000,800000,800000,1200000,0,4000000,"Gajlaxmi Society, Parvati Industrial Estate, Gajanan Maharaj Mandir, Tavre Colony, Nala Garden, Padmavati Mandir, Butterfly Garden, Kakasaheb Gadgil Garden, V.S. Khandekar Highschool, Y. S. Valvekar Nagar, Santnagar, etc."
"Ward 68",68,"Sahakarnagar - Taljai","Sahakarnagar","Usha Jagtap (NCP)","Suhas Jagtap (NCP)",30420,15708,14712,9,37,800000,1600000,400000,1200000,0,0,4000000,"Gandhi Training College, Sahakar Nagar No. 2, Taljai Mandir, Taljai Vasahat, Ramna Ganpati, Shahu College, Lakshmi Nagar, Tulshi baughwale Colony etc."
"Ward 69",69,"Dhankawadi Padmavati","Dhankawadi","Varsha Tapkir (BJP)","Shivalal Bhosale (NCP)",29171,15576,13595,11,34,800000,0,2400000,400000,0,400000,4000000,"Raut Baug, Dhanakawadi Smashanbhumi, Vinkar Society, Sambhaji Nagar, Dhankavdi Gaonthan, Pratiba Nagar, Kamal Vihar Society, Taljai Greens, Panchavati Siciety, Priyadarshani Highschool, Shriram Society, etc."
"Ward 70",70,"Bibvewadi and KK Market","Bibvewadi","Rajendra Shilimkar (BJP)","Asmita Shinde (MNS)",38542,20324,18218,19,44,1600000,0,1200000,800000,400000,0,4000000,"Bibwewadi Gaonthan, Jagtap Sports Academy, Yash Lawn, Shankar Maharaj Math, Lower Indira Nagar, C.D. Deshmukh Primary School, Truck Terminus, K.K. Market, Chvan Nagar etc."
"Ward 71",71,"Shivaji Market, Gultekdi","Bibvewadi","Sunil Kambale (BJP)","Mansi Deshpande (BJP)",36764,19260,17504,17,43,400000,1600000,800000,0,1200000,0,4000000,"Chatrapti Shivaji Marketyard, Panchavati Bhavan Rajya, Parijat Society, Kaamgar Vima Mahamandal, Premnagar Slums, Ambedkar Slums, Vasant Vihar Society, Rajmata Complex etc"
"Ward 72",72,"Upper Indiranagar","Bibvewadi","Dinesh Dhadave (NCP)","Dipali Oswal (SS)",31859,16913,14946,9,38,1200000,0,2000000,0,800000,0,4000000,"Mahesh Society, Chintamaninagar, Upper Indiranagar, Vishwakarma Institute of Technology, Upper Super Indiranagar, etc."
"Ward 73",73,"Balajinagar Vaibhavnagar","Dhankawadi","Dattatray Dhankavade (NCP)","Suvarna Paygude (NCP)",31838,16751,15087,12,35,0,0,1600000,2000000,400000,0,4000000,"Shridharnagar, Hrishikesh Society, Balajinagar, Kashinath Patil Nagar, Pawar Hospital, Punyaee Nagar, Vyakatesh Society, Kirloskar Hsg Society, Saikrupa Society, Shree Swami Samartha Krupa Society, etc."
"Ward 74",74,"Bharati Vidyapeeth","Dhankawadi","Mohini Devkar (NCP)","Vishal Tambe (NCP)",25005,12961,12044,15,29,800000,0,2000000,400000,800000,0,4000000,"Dhankawadi, Mandar Society, Gulabnagar, Chaitanya Nagar, Kalanagar, Jagdish Society, Raghav Nagar, Dhankawadi Telephone Exchange, Nityanand Society, Bharatee Vidyapeeth etc."
"Ward 75",75,"Katraj Dairy","Dhankawadi","Kalpana Thorwe (SS)","Abhijit Kadam (INC)",37622,20256,17366,16,43,1040000,0,2560000,0,400000,0,4000000,"Ambegaon Budruk, Ambegaon Khurd, Chandrabhaga Nagar, Santosh Nagar Aagam Mandir, Santoshi mata Mandir, Katraj Jakat Naka, Dattanagar, Katraj Dairy, Wonder City, Shri Ram Nagari, Lake Town Society, Kadam Plaza, Katraj Lake, Rajeev Gandhi Zoological Park Sa"
"Ward 76",76,"Katraj Maulinagar","Dhankawadi","Bharati Kadam (NCP)","Vasant More (MNS)",52866,28642,24224,16,57,1120000,0,1120000,1120000,640000,0,4000000,"Katraj Gaonthan, Katraj, Sukhsgar Nagar, Bibwewadi, Rajeev Gandhi Nagar, Upper Indira Nagar etc."
"Ward YW",,,"Kondhwa Wanavdi",,,,,,,,0,0,960000,400000,320000,320000,2000000,
